timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,ax,ay,az,gx,gy,gz
1754636248.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1531982421875,0.0546875,0.9847412109375,0.1831054538488388,-0.1220703050494194,0.1220703050494194
1754636248.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1513671875,0.0537109375,0.98486328125,0.1831054538488388,-0.0610351525247097,0.0610351525247097
1754636248.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152099609375,0.05517578125,0.982421875,0.1220703050494194,-0.1220703050494194,0.1220703050494194
1754636248.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1529541015625,0.05517578125,0.98486328125,0.1831054538488388,-0.1220703050494194,0.0610351525247097
1754636248.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1527099609375,0.05419921875,0.9822998046875,0.1220703050494194,0.0,0.1220703050494194
1754636248.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153076171875,0.054443359375,0.9832763671875,0.1220703050494194,-0.1831054538488388,0.0610351525247097
1754636248.951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1514892578125,0.0545654296875,0.9833984375,0.1220703050494194,-0.0610351525247097,0.0610351525247097
1754636248.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152099609375,0.0555419921875,0.984619140625,0.1220703050494194,-0.1220703050494194,0.0
1754636248.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153564453125,0.05517578125,0.9827880859375,0.1831054538488388,-0.1831054538488388,0.0610351525247097
1754636249.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1512451171875,0.0548095703125,0.984130859375,0.0,0.0,0.1220703050494194
1754636249.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15234375,0.0545654296875,0.984130859375,0.1831054538488388,-0.1220703050494194,0.0610351525247097
1754636249.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1536865234375,0.0550537109375,0.9825439453125,0.2441406100988388,-0.1220703050494194,0.0610351525247097
1754636249.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15185546875,0.055419921875,0.984130859375,0.1831054538488388,-0.0610351525247097,0.0610351525247097
1754636249.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152587890625,0.0550537109375,0.983642578125,0.0610351525247097,-0.0610351525247097,0.1220703050494194
1754636249.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1527099609375,0.05517578125,0.982421875,0.2441406100988388,-0.1220703050494194,0.0610351525247097
1754636249.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153564453125,0.0548095703125,0.9837646484375,0.2441406100988388,-0.0610351525247097,0.1220703050494194
