X.1,Y.1,Z.1,X.3,Y.3,Z.3,X.5,Y.5,Z.5,X.7,Y.7,Z.7,X.9,Y.9,Z.9,X.11,Y.11,Z.11,X.13,Y.13,Z.13,X.15,Y.15,Z.15,X.17,Y.17,Z.17,X.19,Y.19,Z.19,X.21,Y.21,Z.21,X.23,Y.23,Z.23,X.25,Y.25,Z.25,X.27,Y.27,Z.27,X.29,Y.29,Z.29,X.31,Y.31,Z.31,X.33,Y.33,Z.33,X.35,Y.35,Z.35,X.37,Y.37,Z.37,X.39,Y.39,Z.39,X.41,Y.41,Z.41
0.026552504,979.90607,-0.023150366,4.504733,1051.5679,15.419611,12.3277,1237.7742,-17.26687,35.00799,1452.412,4.9796133,46.56474,1586.0985,73.82121,64.919205,1382.286,-12.896414,196.5364,1358.8042,-23.953857,230.32635,1134.8832,-65.274956,269.06512,925.21136,-79.177086,-10.66474,1389.1344,-4.1524806,-143.72664,1394.5728,19.85319,-203.27417,1178.7413,-5.3048577,-236.43423,977.4509,25.76741,95.251396,974.57623,-5.8164096,86.80719,562.5098,14.846348,75.57009,192.88892,-16.147884,68.006004,127.063446,130.93497,-95.2692,985.1985,5.8262377,-99.08028,568.67377,36.020626,-100.09468,214.07465,-83.47661,-107.024956,132.02348,53.521366
0.024721952,979.4268,-0.022717735,4.4282827,1051.0973,15.219173,12.166219,1237.171,-17.811724,34.901123,1451.7552,4.1263595,46.73657,1585.4275,72.99545,64.79137,1381.5619,-13.589496,196.31612,1357.661,-24.37143,229.71196,1133.6947,-64.87613,267.46558,923.9499,-78.09633,-10.74862,1388.4749,-4.955115,-143.89758,1394.1166,18.748667,-203.66495,1178.4697,-6.6306086,-236.91693,977.1035,24.06145,95.213936,974.1173,-5.608101,86.419914,561.8132,13.351517,75.17675,192.24417,-19.804892,67.49386,126.423325,127.32856,-95.23838,984.6972,5.6297374,-98.96095,567.8116,33.694168,-100.19753,211.72061,-82.45154,-107.43738,130.60052,55.07196
0.02278892,978.7755,-0.022689506,4.3828015,1050.4205,15.053707,12.045376,1236.3246,-18.308353,34.752697,1450.8534,3.3615215,46.859,1584.449,72.16433,64.630264,1380.6492,-14.200474,196.01723,1356.4175,-24.795767,228.99246,1132.4332,-64.505714,265.8312,922.45215,-77.02204,-10.842634,1387.6001,-5.646845,-143.96208,1393.3546,17.875473,-203.96542,1177.9419,-7.7020316,-237.28287,976.2792,22.369425,95.13869,973.4657,-5.403997,85.89074,561.00757,12.0973625,74.525764,191.63425,-23.305922,66.83553,126.05369,123.88174,-95.16675,984.02936,5.433762,-99.07391,567.0709,31.575943,-100.056366,210.07307,-81.40102,-107.637184,129.58098,56.502964
0.021082329,978.26166,-0.022446496,4.3332553,1049.8904,14.898845,11.910409,1235.6499,-18.77074,34.563145,1450.1443,2.6667812,46.91788,1583.6808,71.41724,64.44294,1379.927,-14.752254,195.73366,1355.3899,-25.162151,228.23853,1131.3198,-64.06076,264.16632,921.1113,-75.935135,-10.976821,1386.9052,-6.2827964,-144.1011,1392.7416,17.069313,-204.30208,1177.4856,-8.630555,-237.69684,975.5201,20.826078,95.078575,972.9592,-5.2011886,85.39221,560.3355,10.931504,73.88967,191.14323,-26.785269,66.21839,125.795746,120.44892,-95.10984,983.4913,5.2379723,-99.25045,566.438,29.529148,-99.91145,208.57135,-80.4324,-107.80858,128.70352,57.848442
0.01941133,977.85547,-0.021981342,4.2811146,1049.4747,14.757374,11.7639475,1235.1025,-19.19626,34.333252,1449.57,2.040071,46.906948,1583.0671,70.736404,64.230064,1379.3427,-15.246449,195.46596,1354.5325,-25.470295,227.45628,1130.3232,-63.53557,262.4959,919.9099,-74.83206,-11.1502695,1386.3365,-6.8634086,-144.31429,1392.2279,16.32751,-204.67137,1177.0605,-9.425224,-238.16309,974.7985,19.407759,95.03182,972.57,-5.003775,84.918526,559.78815,9.836682,73.27791,190.75816,-30.250679,65.65325,125.640175,117.02139,-95.06587,983.05145,5.0465555,-99.480385,565.90625,27.614254,-99.77244,207.2094,-79.52941,-107.97799,127.94786,59.110825
0.0175593,977.5183,-0.02150146,4.224162,1049.1444,14.617372,11.595998,1234.6595,-19.604467,34.04973,1449.0968,1.4522746,46.830063,1582.5515,70.07175,63.977543,1378.8751,-15.70264,195.18071,1353.8378,-25.760258,226.61896,1129.4434,-62.975594,260.81937,918.8334,-73.738106,-11.373944,1385.8802,-7.40087,-144.60948,1391.8326,15.648035,-205.03094,1176.7263,-10.1008625,-238.60779,974.1832,18.086386,94.99418,972.25476,-4.822288,84.47063,559.3499,8.803232,72.688515,190.46503,-33.62402,65.11889,125.58026,113.66138,-95.03261,982.68225,4.870961,-99.7121,565.4475,25.851118,-99.63862,206.0275,-78.67977,-108.1185,127.33587,60.29129
0.01623502,977.2141,-0.021076191,4.170001,1048.8607,14.486561,11.431465,1234.2855,-19.93661,33.728676,1448.6534,0.97179747,46.79323,1582.0378,69.47061,63.697884,1378.4735,-16.068611,194.8959,1353.2274,-25.950745,225.85965,1128.6062,-62.364223,259.13815,917.80707,-72.60477,-11.619081,1385.4955,-7.8532624,-144.93524,1391.5289,15.06285,-205.37062,1176.4739,-10.683556,-238.84804,973.6281,16.82098,94.94197,971.97455,-4.667613,84.03169,558.98676,7.751135,72.04583,190.1608,-36.779144,64.60209,125.60931,110.31738,-94.986084,982.3586,4.722299,-99.95609,565.0684,24.356739,-99.52441,205.13762,-77.82645,-108.31124,126.90433,61.357136
0.014881283,976.9938,-0.020640492,4.116346,1048.6609,14.373293,11.265363,1234.0204,-20.21296,33.382977,1448.3286,0.57336324,46.723015,1581.6589,68.932144,63.403088,1378.1929,-16.3667,194.63245,1352.7584,-26.08433,225.13164,1127.8875,-61.75184,257.49582,916.89136,-71.50281,-11.88602,1385.2211,-8.23718,-145.30264,1391.3104,14.559962,-205.71297,1176.2609,-11.174818,-239.03792,973.0929,15.648023,94.8954,971.78265,-4.530211,83.64053,558.722,6.7433805,71.43191,189.91681,-39.78853,64.17173,125.70435,107.076035,-94.944176,982.1124,4.5896845,-100.21359,564.75854,23.031755,-99.42488,204.36935,-77.03722,-108.517654,126.54147,62.33647
0.013408496,976.8674,-0.02016245,4.0608387,1048.5618,14.268436,11.091407,1233.8751,-20.449554,33.012314,1448.1304,0.25386792,46.59913,1581.422,68.46401,63.092815,1378.0355,-16.598028,194.36795,1352.437,-26.143116,224.39494,1127.264,-61.09571,255.8139,916.1026,-70.36591,-12.176527,1385.0645,-8.559108,-145.70586,1391.1945,14.116605,-206.07083,1176.0852,-11.588514,-239.2033,972.62396,14.58445,94.86213,971.68646,-4.3980117,83.290855,558.5219,5.716183,70.873215,189.72246,-42.675175,63.82815,125.82457,103.968,-94.9151,981.957,4.460909,-100.483955,564.5036,21.817945,-99.34518,203.67216,-76.325775,-108.771454,126.223145,63.216385
0.01195596,976.8073,-0.019286755,4.0048485,1048.53,14.1731825,10.905523,1233.8022,-20.644737,32.61484,1448.0063,0.010025996,46.431553,1581.2871,68.04916,62.763454,1377.9569,-16.767076,194.09114,1352.2103,-26.14086,223.6539,1126.716,-60.390343,254.13297,915.4096,-69.20403,-12.494183,1384.981,-8.814714,-146.13936,1391.1357,13.751037,-206.44197,1175.9325,-11.932437,-239.35428,972.19244,13.57875,94.841385,971.66205,-4.278498,82.95913,558.3808,4.6760616,70.332756,189.57208,-45.50473,63.540783,125.9561,100.92478,-94.898575,981.8616,4.3443575,-100.77306,564.3185,20.755024,-99.28668,203.05283,-75.63297,-109.060036,125.96515,64.06602
0.010660522,976.7857,-0.018563863,3.94535,1048.5486,14.092911,10.710417,1233.8173,-20.826437,32.19395,1447.9867,-0.22324379,46.212543,1581.2461,67.66453,62.418053,1377.9707,-16.929138,193.83505,1352.1222,-26.137972,222.9518,1126.2267,-59.7141,252.48967,914.83746,-68.0476,-12.833733,1384.9824,-9.06426,-146.62381,1391.1588,13.3938465,-206.82198,1175.7625,-12.233936,-239.46904,971.80206,12.674564,94.82912,971.6781,-4.1685967,82.64889,558.26483,3.6516159,69.80688,189.4445,-48.23946,63.293987,126.08685,97.98409,-94.89013,981.8016,4.237004,-101.06556,564.1669,19.861794,-99.25449,202.50885,-75.003845,-109.3761,125.76527,64.84657
0.009312921,976.79456,-0.017731125,3.8839111,1048.596,14.023274,10.499958,1233.8596,-20.981325,31.745872,1447.9943,-0.4145146,45.94708,1581.2633,67.28839,62.05028,1378.0156,-17.058073,193.55954,1352.0836,-26.113323,222.23723,1125.7859,-59.017414,250.8704,914.3289,-66.88194,-13.201382,1385.0077,-9.272164,-147.13353,1391.192,13.09264,-207.19061,1175.5836,-12.47769,-239.54483,971.4234,11.8358965,94.82415,971.7324,-4.0737615,82.34007,558.197,2.6022136,69.29478,189.35558,-50.893875,63.103962,126.22762,95.129585,-94.888725,981.7642,4.1442833,-101.36352,564.047,19.07962,-99.24391,202.02051,-74.40884,-109.724495,125.592545,65.568184
